ID,label
4,0
6,0
7,1
15,1
17,0
18,0
20,0
21,0
29,1
35,0
37,1
39,1
41,0
43,1
46,1
49,1
52,1
61,1
68,1
70,0
72,0
76,1
77,1
79,0
80,1
82,0
85,0
87,0
94,0
95,0
96,1
99,1
104,1
109,0
111,1
112,1
117,0
121,1
125,1
135,0
139,0
145,0
148,1
150,1
162,1
164,1
165,0
169,0
172,1
173,1
176,1
178,0
180,0
183,0
185,1
187,0
188,1
189,1
191,0
194,0
198,1
200,0
210,0
211,1
213,0
214,0
215,0
218,1
219,1
225,1
230,1
243,0
250,1
251,1
252,1
260,1
264,0
265,1
268,1
280,1
283,0
293,0
300,0
306,1
308,0
313,1
314,0
319,1
324,1
325,1
326,1
327,1
328,0
330,0
331,1
334,1
340,1
341,1
350,1
353,1
355,1
357,0
359,0
363,0
366,1
368,0
373,1
378,0
384,0
387,0
388,1
390,0
393,1
403,1
404,1
405,0
406,1
408,1
410,1
411,1
413,1
414,0
415,0
420,0
428,0
429,1
430,0
431,0
436,0
437,1
440,1
448,1
451,0
458,0
466,1
467,1
472,0
473,0
477,1
481,1
483,0
484,1
489,0
492,1
499,1
506,1
508,1
509,0
511,1
514,1
515,0
521,1
522,0
526,0
527,0
528,1
529,0
530,1
542,1
547,1
550,1
551,0
554,0
555,1
559,0
560,0
564,1
565,1
570,0
575,0
579,1
580,0
582,1
589,1
590,0
593,1
595,1
601,1
602,0
604,1
605,1
606,0
609,1
611,0
615,1
621,1
630,1
631,0
634,1
641,0
643,0
645,1
648,0
650,1
652,1
659,1
660,1
662,1
667,0
671,1
673,0
681,1
682,1
690,1
693,1
697,0
699,1
701,0
702,0
703,1
709,0
710,0
711,0
714,1
720,1
723,0
724,0
726,1
731,1
733,1
735,0
738,1
748,1
752,1
759,1
761,0
763,0
768,1
769,1
770,1
772,0
774,1
778,1
780,0
781,0
782,1
783,1
785,0
793,1
799,1
801,0
803,0
804,1
808,0
814,0
817,1
818,0
820,1
823,1
824,1
825,1
830,0
832,1
833,0
834,1
838,1
839,1
841,1
849,1
851,1
852,1
854,1
858,1
869,1
872,1
873,0
879,0
880,0
882,1
883,1
884,1
886,1
887,1
901,0
902,1
912,1
918,0
919,1
920,1
922,1
923,0
925,1
926,1
927,0
932,1
935,1
936,0
937,1
939,1
942,1
948,1
949,1
950,1
954,0
957,0
968,1
969,0
970,0
971,1
974,1
980,1
983,1
989,1
996,1
1004,1
1009,0
1011,0
1014,0
1016,0
1017,1
1022,1
1024,0
1026,1
1030,1
1034,0
1039,1
1050,0
1054,1
1055,1
1057,0
1062,0
1063,0
1066,0
1069,1
1075,1
1077,0
1086,1
1089,0
1092,1
1095,1
1096,0
1100,0
1109,1
1115,1
1118,0
1120,0
1122,0
1124,1
1125,0
1126,0
1131,0
1139,0
1143,1
1145,1
1149,0
1151,1
1153,0
1154,1
1155,0
1165,0
1167,0
1171,0
1172,0
1178,1
1185,1
1191,0
1192,1
1196,1
1197,0
1198,1
1202,1
1203,1
1205,0
1206,0
1207,1
1208,0
1212,0
1216,0
1217,1
1224,1
1229,1
1236,1
1240,1
1245,1
1246,1
1247,0
1248,1
1249,1
1253,0
1254,1
1259,0
1262,0
1264,1
1268,0
1273,1
1274,1
1278,1
1279,1
1280,0
1284,1
1285,0
1292,0
1293,0
1304,0
1305,0
1306,1
1316,1
1319,1
1323,0
1330,0
1332,0
1335,0
1338,0
1339,0
1343,1
1349,1
1360,1
1361,0
1362,1
1375,1
1376,0
1377,0
1378,1
1381,1
1388,1
1394,1
1395,1
1397,1
1398,1
1400,1
1403,1
1406,1
1417,0
1419,1
1421,1
1423,1
1430,1
1432,1
1435,1
1438,1
1439,0
1445,1
1450,1
1455,1
1460,1
1463,0
1468,1
1472,0
1473,1
1477,1
1480,0
1485,1
1487,0
1488,1
1490,1
1493,0
1497,1
1498,0
1499,1
1502,1
1507,1
1513,0
1514,1
1515,1
